#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 07h58 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     A2 : scenario pessimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
2566;42.5776;8.9052;A2;H1;12.16;80.15;15.3;3.45;
2567;42.5716;9.002;A2;H1;10.17;58.8;11.05;1.7;
2568;42.5654;9.0989;A2;H1;10.59;62.15;12.1;2.2;
2569;42.5592;9.1957;A2;H1;6.72;27.7;1.65;0.05;
2570;42.5529;9.2925;A2;H1;8.36;41.25;5.95;1;
2571;42.5465;9.3892;A2;H1;8.67;44.85;2.45;0.05;
2572;42.54;9.486;A2;H1;10.35;62.85;4.1;0.6;
2612;42.8133;-0.5431;A2;H1;2.15;2.5;0;0;
2613;42.8159;-0.4456;A2;H1;2.09;1.55;0;0;
2614;42.8184;-0.3481;A2;H1;2.08;1.05;0.05;0;
2615;42.8208;-0.2505;A2;H1;2.54;0.95;0;0;
2616;42.8231;-0.1529;A2;H1;2.1;1;0.05;0;
2617;42.8254;-0.0554;A2;H1;2.09;1;0.05;0;
2618;42.8275;0.0422;A2;H1;2.34;3.6;0.3;0;
2619;42.8296;0.1398;A2;H1;2.8;4.25;0.2;0;
2620;42.8315;0.2374;A2;H1;2.39;2.85;0.15;0;
2621;42.8334;0.335;A2;H1;2.97;7.1;0.2;0;
2622;42.8352;0.4326;A2;H1;2.55;4;0.2;0;
2623;42.8369;0.5302;A2;H1;2.06;2.45;0;0;
2624;42.8385;0.6278;A2;H1;2.41;5.15;0;0;
2626;42.8414;0.823;A2;H1;1.99;2.05;0;0;
2627;42.8428;0.9206;A2;H1;2.15;2.65;0;0;
2628;42.844;1.0183;A2;H1;2.33;3.4;0;0;
2629;42.8452;1.1159;A2;H1;2.22;2.85;0.05;0;
2630;42.8463;1.2136;A2;H1;2.95;6.8;0.2;0;
2631;42.8472;1.3112;A2;H1;2.52;4.4;0.1;0;
