#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h01 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     REF : r�f�rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : R�f�rence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
3187;43.1081;-0.2634;REF;REF;0.01;
3188;43.1104;-0.1654;REF;REF;0.01;
3189;43.1127;-0.0673;REF;REF;-0;
3190;43.1148;0.0307;REF;REF;-0;
3191;43.1169;0.1288;REF;REF;-0;
3192;43.1189;0.2269;REF;REF;-0;
3193;43.1208;0.325;REF;REF;-0;
3194;43.1226;0.4231;REF;REF;0;
3195;43.1243;0.5211;REF;REF;-0;
3196;43.1259;0.6192;REF;REF;0;
3197;43.1274;0.7173;REF;REF;0;
3198;43.1288;0.8155;REF;REF;0;
3199;43.1302;0.9136;REF;REF;0;
3200;43.1314;1.0117;REF;REF;0;
3201;43.1326;1.1098;REF;REF;0;
3202;43.1337;1.2079;REF;REF;0;
3203;43.1347;1.3061;REF;REF;0.01;
3204;43.1356;1.4042;REF;REF;0.01;
3205;43.1364;1.5023;REF;REF;0.01;
3206;43.1371;1.6005;REF;REF;0.01;
3207;43.1377;1.6986;REF;REF;0.01;
3208;43.1383;1.7968;REF;REF;-0;
3209;43.1387;1.8949;REF;REF;-0;
3210;43.1391;1.9931;REF;REF;-0;
3211;43.1393;2.0912;REF;REF;-0;
3212;43.1395;2.1894;REF;REF;-0;
3213;43.1396;2.2875;REF;REF;-0;
3214;43.1396;2.3857;REF;REF;-0;
3215;43.1395;2.4838;REF;REF;-0;
3216;43.1394;2.5819;REF;REF;0.03;
3217;43.1391;2.6801;REF;REF;0.03;
3218;43.1387;2.7782;REF;REF;0.03;
3219;43.1383;2.8764;REF;REF;0.01;
3220;43.1377;2.9745;REF;REF;0.01;
3221;43.1371;3.0727;REF;REF;0.01;
3249;43.0831;5.8186;REF;REF;0;
3251;43.0766;6.0145;REF;REF;0.01;
3252;43.0732;6.1124;REF;REF;0.01;
3285;42.9107;9.3357;REF;REF;0.01;
3286;42.9043;9.433;REF;REF;0.01;
3319;43.1483;-1.3459;REF;REF;0.01;
3320;43.1517;-1.2479;REF;REF;0.01;
3321;43.1549;-1.1498;REF;REF;0.01;
3322;43.158;-1.0517;REF;REF;0.01;
3323;43.1611;-0.9536;REF;REF;0.01;
3324;43.164;-0.8555;REF;REF;0.01;
3325;43.1669;-0.7574;REF;REF;0.01;
3326;43.1697;-0.6593;REF;REF;0.01;
3327;43.1724;-0.5611;REF;REF;0.01;
3328;43.175;-0.463;REF;REF;0.01;
3329;43.1775;-0.3648;REF;REF;0.01;
3330;43.1799;-0.2667;REF;REF;0.01;
3331;43.1823;-0.1685;REF;REF;0.01;
3332;43.1845;-0.0703;REF;REF;0;
3333;43.1867;0.0279;REF;REF;-0;
3334;43.1888;0.126;REF;REF;-0;
3335;43.1907;0.2242;REF;REF;0;
3336;43.1926;0.3224;REF;REF;-0;
3337;43.1944;0.4207;REF;REF;0;
3338;43.1961;0.5189;REF;REF;-0;
3339;43.1977;0.6171;REF;REF;0;
3340;43.1993;0.7153;REF;REF;0;
3341;43.2007;0.8136;REF;REF;0;
3342;43.2021;0.9118;REF;REF;0;
3343;43.2033;1.01;REF;REF;0;
3344;43.2045;1.1083;REF;REF;0;
3345;43.2056;1.2065;REF;REF;0;
3346;43.2065;1.3048;REF;REF;0;
3347;43.2074;1.403;REF;REF;0.01;
3348;43.2083;1.5013;REF;REF;0.01;
3349;43.209;1.5996;REF;REF;0.01;
3350;43.2096;1.6978;REF;REF;0.01;
3351;43.2101;1.7961;REF;REF;-0;
3352;43.2106;1.8944;REF;REF;-0;
3353;43.211;1.9926;REF;REF;-0;
3354;43.2112;2.0909;REF;REF;-0;
3355;43.2114;2.1892;REF;REF;-0;
3356;43.2115;2.2874;REF;REF;-0;
3357;43.2115;2.3857;REF;REF;-0;
3358;43.2114;2.484;REF;REF;-0;
3359;43.2112;2.5823;REF;REF;0.03;
3360;43.211;2.6805;REF;REF;0.03;
3361;43.2106;2.7788;REF;REF;0.03;
3362;43.2102;2.8771;REF;REF;0.03;
3363;43.2096;2.9753;REF;REF;0.01;
3364;43.209;3.0736;REF;REF;0.01;
3365;43.2083;3.1719;REF;REF;0.01;
3391;43.1581;5.7248;REF;REF;0;
3392;43.1549;5.8229;REF;REF;0;
3393;43.1517;5.921;REF;REF;0.02;
3394;43.1484;6.0191;REF;REF;0.01;
3395;43.145;6.1171;REF;REF;0.01;
3396;43.1415;6.2152;REF;REF;0.01;
3397;43.1379;6.3132;REF;REF;0.02;
3398;43.1342;6.4112;REF;REF;0.02;
3428;42.9823;9.3444;REF;REF;0.01;
3462;43.2201;-1.3505;REF;REF;0.01;
3463;43.2235;-1.2523;REF;REF;0.01;
3464;43.2267;-1.1541;REF;REF;0.01;
3465;43.2298;-1.0559;REF;REF;0.01;
3466;43.2329;-0.9577;REF;REF;0.01;
3467;43.2359;-0.8595;REF;REF;0.01;
3468;43.2387;-0.7613;REF;REF;0.01;
3469;43.2415;-0.663;REF;REF;0.01;
3470;43.2442;-0.5647;REF;REF;0.01;
3471;43.2468;-0.4665;REF;REF;0.01;
3472;43.2494;-0.3682;REF;REF;0.01;
3473;43.2518;-0.2699;REF;REF;0.01;
3474;43.2541;-0.1716;REF;REF;0.01;
3475;43.2564;-0.0733;REF;REF;0;
3476;43.2585;0.025;REF;REF;0.01;
3477;43.2606;0.1233;REF;REF;0.01;
3478;43.2626;0.2216;REF;REF;0;
