#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h06 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     A2 : scenario pessimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
3073;43.0675;2.5816;A2;H1;-0.9;
3074;43.0672;2.6797;A2;H1;-0.87;
3075;43.0669;2.7777;A2;H1;-1.13;
3076;43.0664;2.8757;A2;H1;-1.13;
3077;43.0659;2.9737;A2;H1;-1.13;
3078;43.0652;3.0718;A2;H1;-1.13;
3142;42.8392;9.327;A2;H1;-0.47;
3143;42.8327;9.4242;A2;H1;-0.59;
3175;43.0731;-1.4392;A2;H1;-0.69;
3176;43.0765;-1.3413;A2;H1;-0.69;
3177;43.0799;-1.2434;A2;H1;-0.69;
3178;43.0831;-1.1454;A2;H1;-0.69;
3179;43.0862;-1.0475;A2;H1;-0.69;
3180;43.0893;-0.9495;A2;H1;-0.69;
3181;43.0922;-0.8515;A2;H1;-0.8;
3182;43.0951;-0.7535;A2;H1;-0.8;
3183;43.0979;-0.6555;A2;H1;-0.65;
3184;43.1006;-0.5575;A2;H1;-0.61;
3185;43.1032;-0.4595;A2;H1;-0.65;
3186;43.1057;-0.3615;A2;H1;-0.65;
3187;43.1081;-0.2634;A2;H1;-0.65;
3188;43.1104;-0.1654;A2;H1;-0.65;
3189;43.1127;-0.0673;A2;H1;-0.77;
3190;43.1148;0.0307;A2;H1;-0.77;
3191;43.1169;0.1288;A2;H1;-0.77;
3192;43.1189;0.2269;A2;H1;-0.77;
3193;43.1208;0.325;A2;H1;-0.75;
3194;43.1226;0.4231;A2;H1;-0.75;
3195;43.1243;0.5211;A2;H1;-0.75;
3196;43.1259;0.6192;A2;H1;-0.75;
3197;43.1274;0.7173;A2;H1;-0.73;
3198;43.1288;0.8155;A2;H1;-0.73;
3199;43.1302;0.9136;A2;H1;-0.73;
3200;43.1314;1.0117;A2;H1;-0.73;
3201;43.1326;1.1098;A2;H1;-0.8;
3202;43.1337;1.2079;A2;H1;-0.73;
3203;43.1347;1.3061;A2;H1;-0.66;
3204;43.1356;1.4042;A2;H1;-0.66;
3205;43.1364;1.5023;A2;H1;-0.66;
3206;43.1371;1.6005;A2;H1;-0.66;
3207;43.1377;1.6986;A2;H1;-0.66;
3208;43.1383;1.7968;A2;H1;-0.62;
3209;43.1387;1.8949;A2;H1;-0.61;
3210;43.1391;1.9931;A2;H1;-0.62;
3211;43.1393;2.0912;A2;H1;-0.61;
3212;43.1395;2.1894;A2;H1;-0.62;
3213;43.1396;2.2875;A2;H1;-0.57;
3214;43.1396;2.3857;A2;H1;-0.62;
3215;43.1395;2.4838;A2;H1;-0.62;
3216;43.1394;2.5819;A2;H1;-0.92;
3217;43.1391;2.6801;A2;H1;-0.79;
3218;43.1387;2.7782;A2;H1;-0.77;
3219;43.1383;2.8764;A2;H1;-1.13;
3220;43.1377;2.9745;A2;H1;-1.13;
3221;43.1371;3.0727;A2;H1;-1.13;
3249;43.0831;5.8186;A2;H1;-0.47;
