Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
3319;43.1483;-1.3459;A1B;H1;-0.76;
3320;43.1517;-1.2479;A1B;H1;-0.76;
3321;43.1549;-1.1498;A1B;H1;-0.81;
3322;43.158;-1.0517;A1B;H1;-0.76;
3323;43.1611;-0.9536;A1B;H1;-0.81;
3324;43.164;-0.8555;A1B;H1;-0.81;
3325;43.1669;-0.7574;A1B;H1;-0.81;
3326;43.1697;-0.6593;A1B;H1;-0.66;
3327;43.1724;-0.5611;A1B;H1;-0.66;
3328;43.175;-0.463;A1B;H1;-0.66;
3329;43.1775;-0.3648;A1B;H1;-0.66;
3330;43.1799;-0.2667;A1B;H1;-0.66;
3331;43.1823;-0.1685;A1B;H1;-0.66;
3332;43.1845;-0.0703;A1B;H1;-0.47;
3333;43.1867;0.0279;A1B;H1;-0.61;
3334;43.1888;0.126;A1B;H1;-0.61;
3335;43.1907;0.2242;A1B;H1;-0.28;
3336;43.1926;0.3224;A1B;H1;-0.5;
3337;43.1944;0.4207;A1B;H1;-0.5;
3338;43.1961;0.5189;A1B;H1;-0.5;
3339;43.1977;0.6171;A1B;H1;-0.28;
3340;43.1993;0.7153;A1B;H1;-0.53;
3341;43.2007;0.8136;A1B;H1;-0.53;
3342;43.2021;0.9118;A1B;H1;-0.53;
3343;43.2033;1.01;A1B;H1;-0.53;
3344;43.2045;1.1083;A1B;H1;-0.35;
3345;43.2056;1.2065;A1B;H1;-0.35;
3346;43.2065;1.3048;A1B;H1;-0.35;
3347;43.2074;1.403;A1B;H1;-0.3;
3348;43.2083;1.5013;A1B;H1;-0.3;
3349;43.209;1.5996;A1B;H1;-0.3;
3350;43.2096;1.6978;A1B;H1;-0.3;
3351;43.2101;1.7961;A1B;H1;-0.32;
3352;43.2106;1.8944;A1B;H1;-0.32;
3353;43.211;1.9926;A1B;H1;-0.32;
3354;43.2112;2.0909;A1B;H1;-0.32;
3355;43.2114;2.1892;A1B;H1;-0.32;
3356;43.2115;2.2874;A1B;H1;-0.32;
3357;43.2115;2.3857;A1B;H1;-0.32;
3358;43.2114;2.484;A1B;H1;-0.32;
3359;43.2112;2.5823;A1B;H1;-0.7;
3360;43.211;2.6805;A1B;H1;-0.7;
3361;43.2106;2.7788;A1B;H1;-0.71;
3362;43.2102;2.8771;A1B;H1;-0.71;
3363;43.2096;2.9753;A1B;H1;-0.52;
3364;43.209;3.0736;A1B;H1;-0.52;
3365;43.2083;3.1719;A1B;H1;-0.52;
3391;43.1581;5.7248;A1B;H1;-0.51;
3392;43.1549;5.8229;A1B;H1;-0.51;
3393;43.1517;5.921;A1B;H1;-0.71;
3394;43.1484;6.0191;A1B;H1;-0.78;
3395;43.145;6.1171;A1B;H1;-0.78;
3396;43.1415;6.2152;A1B;H1;-0.83;
